# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2024-07-23 00:29:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 77866
# output
#   file = /home/rahul/Academics/prob_prog/stan/bernoulli/outputs/bernoulli-20240722202941_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=bernoulli.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.937204
# Diagonal elements of inverse mass matrix:
# 0.206678
-14.8851,0.998491,0.937204,1,3,0,15.1665,0.414976
-16.1616,0.706098,0.937204,1,3,0,16.6653,0.25298
-14.893,1,0.937204,2,3,0,15.959,0.423519
-15.0782,0.945825,0.937204,1,3,0,15.1936,0.345035
-15.0726,1,0.937204,1,1,0,15.1192,0.345952
-15.1513,0.9825,0.937204,1,1,0,15.1775,0.334309
-15.1815,0.997776,0.937204,2,3,0,15.235,0.330339
-15.124,0.942561,0.937204,1,3,0,15.7864,0.4827
-15.0921,0.865502,0.937204,2,3,0,16.1997,0.342855
-14.9023,0.734216,0.937204,2,3,0,17.2936,0.388899
-14.8912,0.977149,0.937204,2,3,0,15.056,0.422091
-14.8944,0.995074,0.937204,2,3,0,14.927,0.393707
-15.6196,0.845953,0.937204,1,3,0,15.7675,0.287949
-15.4576,0.933649,0.937204,2,3,0,16.5066,0.301315
-15.1786,1,0.937204,1,1,0,15.4144,0.330717
-15.2375,0.987134,0.937204,1,1,0,15.2901,0.323528
-15.3966,0.988749,0.937204,2,3,0,15.441,0.306909
-15.9437,0.964524,0.937204,2,3,0,15.9633,0.26568
-15.5119,1,0.937204,1,1,0,15.905,0.296616
-16.061,0.895202,0.937204,1,1,0,16.0949,0.258661
-16.2661,0.962005,0.937204,1,1,0,16.4569,0.247373
-17.6616,0.784547,0.937204,1,1,0,17.6912,0.190782
-17.2228,1,0.937204,2,3,0,17.9128,0.205812
-15.8052,1,0.937204,1,1,0,16.9601,0.274615
-14.886,0.720928,0.937204,2,3,0,18.5331,0.416386
-15.1842,0.933109,0.937204,1,3,0,15.2374,0.491465
-15.8787,0.947042,0.937204,2,3,0,15.8809,0.559078
-16.2698,0.908811,0.937204,1,1,0,16.4336,0.585711
-17.3007,0.782869,0.937204,1,1,0,17.4486,0.64012
-15.0884,0.916501,0.937204,2,3,0,18.0249,0.476991
-15.3702,0.932109,0.937204,1,1,0,15.3806,0.514034
-15.0409,1,0.937204,1,1,0,15.2902,0.468549
-15.6271,0.787882,0.937204,1,3,0,16.4277,0.287375
-15.8807,0.983438,0.937204,2,3,0,15.9804,0.269646
-16.441,0.898953,0.937204,1,1,0,16.5267,0.238576
-15.5122,1,0.937204,2,3,0,16.2615,0.29659
-16.1212,0.884739,0.937204,1,1,0,16.1487,0.255229
-14.9104,0.997919,0.937204,2,3,0,16.1112,0.384974
